"linenumber","sentiment"
1,1
2,-3
3,0
4,2
5,1
6,0
7,2
8,2
9,0
10,1
11,-1
12,3
13,2
15,1
16,1
17,2
19,0
20,-1
21,0
23,1
24,1
25,-1
26,-4
27,1
28,-1
29,-1
31,-1
32,-3
33,1
34,1
36,2
37,0
38,-1
39,0
40,1
41,0
43,-1
44,2
45,1
46,1
47,0
48,3
49,2
50,-3
51,-1
53,-2
54,1
55,0
57,0
58,-1
59,0
60,-2
61,0
62,0
63,-1
64,1
65,0
66,0
67,1
70,0
71,4
73,3
74,0
75,1
76,-1
77,1
78,0
79,2
80,0
81,1
82,-1
83,2
85,-1
86,1
88,-3
90,1
91,-3
92,0
93,2
94,-3
95,1
96,-1
97,-3
98,-1
100,-1
103,-1
104,0
105,1
106,0
107,1
109,-3
110,-1
111,0
112,0
113,1
114,-1
115,1
116,2
118,1
119,2
120,1
121,1
122,3
123,0
124,1
125,2
126,2
127,0
128,-1
129,0
130,0
131,0
133,0
134,1
135,-1
136,0
137,5
138,2
140,1
141,0
142,-1
144,1
145,2
146,-1
147,0
148,-2
149,2
150,0
151,1
152,2
153,2
156,2
157,1
158,1
159,0
160,1
161,0
162,2
163,0
164,1
165,1
166,1
167,1
168,1
169,1
171,2
172,-1
173,0
174,2
175,1
178,0
179,0
182,1
183,0
184,1
186,3
187,0
188,0
189,3
190,0
191,4
192,0
193,2
195,-1
198,2
199,2
200,1
201,1
203,-1
204,1
206,0
207,-4
208,-1
209,-1
210,1
211,0
212,0
213,1
214,0
215,1
218,0
219,-1
221,-1
222,-2
224,-1
226,1
227,-1
228,1
229,-1
230,2
234,0
235,-2
236,1
237,1
238,0
239,1
241,0
242,0
243,2
244,0
245,3
246,-4
247,6
250,0
252,7
254,0
255,0
256,0
257,2
258,0
260,-5
262,0
263,0
264,-2
265,0
266,2
267,1
268,0
269,0
270,1
271,1
273,1
274,4
275,1
276,1
277,1
278,0
279,2
280,-1
282,-1
283,-1
285,2
286,0
287,2
288,1
289,1
290,1
291,0
293,1
294,1
295,1
296,1
298,-2
299,-5
301,1
302,1
303,0
305,1
307,1
308,1
309,0
310,2
314,-1
315,0
316,1
317,0
318,1
319,-1
320,0
321,2
322,1
323,-1
324,1
325,2
327,1
328,-1
329,0
332,2
333,1
