"linenumber","sentiment"
1,2
2,0
4,2
5,1
6,-4
7,2
8,-2
9,3
10,0
12,1
13,0
14,2
15,-1
17,-1
19,0
20,2
21,-1
23,2
24,0
25,-1
26,1
27,2
28,-1
29,3
30,2
31,5
32,0
33,-1
34,0
35,-3
36,1
37,0
38,2
39,0
40,3
41,1
43,1
44,-1
45,3
46,4
47,5
48,4
49,0
50,0
51,1
52,1
54,-1
55,2
56,1
57,0
58,0
59,-1
60,3
61,0
62,0
63,1
64,0
65,2
66,-1
67,5
68,-3
69,2
70,0
71,0
72,0
73,1
74,-1
75,1
76,-1
77,0
78,1
79,3
81,-1
82,-1
84,1
85,0
86,1
87,0
88,1
89,-1
90,2
91,0
92,0
93,1
94,1
95,0
96,1
97,-5
98,2
99,2
100,1
102,-1
103,1
104,1
105,0
106,-1
107,-1
108,-1
109,-1
110,-1
111,3
112,0
113,2
114,0
115,2
116,0
118,-3
119,5
120,0
121,-2
122,1
123,2
124,-1
125,-4
126,2
127,1
128,2
129,-3
131,2
134,0
135,3
136,3
138,2
139,-1
142,2
143,-1
144,1
145,-1
146,1
147,2
148,0
149,3
151,0
152,1
154,3
155,3
156,-1
157,2
158,0
159,2
160,-1
161,0
163,-1
164,2
165,-2
166,0
167,1
168,1
169,2
170,0
172,0
173,-1
174,0
175,3
176,0
177,0
178,3
179,2
180,4
181,4
182,0
183,2
184,0
186,-3
187,0
188,-1
190,0
191,-2
192,1
193,0
194,0
195,0
196,1
197,-2
198,-2
199,0
200,0
201,-2
202,1
203,0
204,0
205,1
206,-1
207,1
208,1
209,3
210,4
212,1
213,-2
214,3
215,1
216,-2
217,2
219,2
220,0
221,2
222,-1
223,0
224,0
225,2
226,2
227,3
228,1
229,-4
230,5
231,1
232,2
233,0
234,-2
235,2
236,2
237,0
238,-1
239,-1
240,0
241,0
243,2
244,0
245,3
246,-1
247,0
248,0
249,1
250,1
251,-5
252,-2
253,0
254,-1
256,1
257,-1
258,-1
259,2
260,1
261,2
262,1
263,2
264,0
265,-1
266,2
267,1
268,0
269,1
270,2
271,1
272,1
275,4
276,0
277,-3
279,0
280,0
281,0
283,-1
284,-3
285,-4
286,5
287,2
288,3
289,0
290,1
292,-1
293,1
294,-1
295,0
296,0
297,0
298,0
299,-2
300,-1
301,-1
302,2
303,1
304,-3
305,0
306,1
308,1
309,0
310,3
311,0
312,-1
313,2
314,2
315,1
316,-1
317,4
318,0
319,-1
320,0
321,2
322,1
323,2
324,0
325,-4
326,-2
327,-1
328,1
329,3
330,3
331,0
332,2
333,2
334,2
335,-1
336,-1
337,1
338,-1
339,-1
340,-1
341,0
342,1
343,-4
344,2
345,1
346,0
347,2
348,-3
349,-1
350,2
351,1
352,0
353,0
354,-1
355,0
356,0
357,1
358,2
359,-1
360,5
361,-3
362,2
363,0
364,0
365,0
366,1
367,-1
368,1
369,0
370,1
371,3
373,-1
374,-1
376,1
377,0
378,1
379,0
380,1
381,-1
382,2
383,0
384,0
385,1
386,1
387,0
388,1
389,-5
390,2
391,2
392,1
394,-1
395,1
396,1
397,0
398,-1
399,-1
400,-1
401,-1
402,-1
403,3
404,0
405,2
406,0
407,2
408,0
410,-3
411,5
412,0
413,-2
414,1
415,-1
416,-4
417,2
418,1
419,2
420,-3
422,2
425,0
426,3
428,2
429,-1
432,2
433,-1
434,1
435,-1
436,1
437,2
438,0
439,3
441,0
442,1
444,3
445,3
446,-1
447,2
448,2
449,-1
450,0
452,-1
453,2
454,-2
455,0
456,1
457,1
458,2
459,0
461,0
462,-1
463,0
464,3
465,0
466,3
467,2
468,4
469,4
470,0
471,2
472,0
474,-3
475,0
476,-1
478,0
479,-2
480,1
481,0
482,0
483,0
484,1
485,-2
486,-2
487,0
488,0
489,-2
490,1
491,0
492,0
493,1
494,-1
495,1
496,1
497,3
498,4
500,1
501,-2
502,3
503,1
504,-2
506,2
507,0
508,2
509,-1
510,0
511,0
512,2
513,2
514,3
515,1
516,-4
517,5
518,1
519,2
520,0
521,-2
522,2
523,2
524,1
525,0
526,-1
527,-1
528,0
529,0
531,2
532,3
533,-1
534,0
535,0
536,1
537,1
538,-5
539,-2
540,0
541,-1
543,1
544,-1
545,-1
546,2
547,-2
548,1
549,2
550,1
551,2
552,0
553,2
554,1
555,0
556,1
557,2
558,1
559,1
562,4
563,0
564,-3
565,4
566,1
567,1
569,1
570,2
571,2
573,1
574,0
575,2
576,6
577,-3
578,0
579,4
580,-2
581,-2
582,0
583,1
584,3
585,5
588,3
589,3
590,1
591,-1
592,1
593,5
595,0
598,0
599,-1
600,-1
601,2
602,1
603,1
604,3
605,1
607,2
608,-3
609,2
611,6
612,2
613,1
614,4
615,2
616,1
617,2
618,3
619,1
621,1
622,0
623,3
625,3
626,3
627,1
628,2
629,1
630,0
631,1
632,0
633,0
634,1
635,1
636,7
637,0
638,0
640,3
641,1
642,2
643,2
644,-1
646,2
647,3
648,1
649,0
650,1
652,1
653,0
654,1
655,3
656,0
657,-1
658,3
659,0
660,0
661,3
662,0
664,0
666,0
667,0
668,5
669,4
671,1
673,0
674,4
675,7
676,1
677,-3
678,0
680,-1
681,4
682,-2
683,0
684,3
685,3
686,0
687,0
688,0
689,1
690,1
691,-1
692,0
693,6
694,1
695,0
696,0
697,1
699,4
700,0
701,0
702,3
703,-2
704,-1
705,2
706,0
707,-1
708,-1
709,1
710,0
711,-4
713,6
714,1
715,2
716,6
717,-1
718,0
720,1
721,0
722,2
723,2
725,0
726,4
727,-1
728,0
729,4
730,3
731,0
732,4
733,0
734,0
735,4
736,1
737,2
738,2
739,4
740,4
741,4
742,4
743,0
744,1
745,-1
746,0
747,6
748,4
749,2
750,1
751,9
752,-2
753,1
754,1
755,-2
756,1
757,1
759,2
760,0
761,1
762,1
763,0
764,0
765,-2
767,0
768,5
769,4
770,-1
771,2
772,3
773,3
774,-1
775,2
776,3
777,-3
778,0
779,-2
780,4
781,3
782,2
783,1
785,8
786,-1
787,3
788,2
789,-2
790,2
791,1
792,2
793,1
794,2
795,3
796,-2
797,3
798,2
799,2
800,0
802,0
803,-4
804,0
806,-2
807,1
808,0
809,1
810,-2
812,0
813,2
814,3
816,-1
817,0
818,1
819,3
820,6
821,3
822,0
823,2
824,-4
825,-2
826,2
827,2
829,2
830,2
832,2
833,-3
834,-2
835,0
836,0
837,4
838,6
839,0
841,4
843,6
844,1
845,2
846,2
847,3
848,0
851,1
853,0
854,1
855,-2
856,4
857,1
858,0
859,2
860,6
861,1
862,0
863,2
865,2
866,1
867,1
868,-1
869,3
870,1
871,3
872,3
873,4
874,4
875,2
876,2
877,8
878,3
879,0
880,-2
881,1
882,0
884,3
885,2
886,1
887,-1
888,-2
890,0
891,0
892,0
893,3
894,3
895,-3
896,1
897,-2
898,1
899,-2
900,0
901,3
902,3
903,1
904,-1
905,0
906,2
907,3
908,3
909,-1
910,-1
911,1
912,-1
913,3
914,2
915,2
916,1
917,1
918,0
919,1
921,3
922,0
923,3
924,2
925,0
926,2
927,-3
928,-1
929,-2
930,3
931,4
932,1
933,0
934,-1
936,1
937,1
938,2
939,-3
941,-1
942,3
943,0
944,0
945,-4
948,1
949,0
951,1
952,2
953,-1
954,1
955,-2
956,0
957,-2
959,-2
960,-2
961,1
962,-2
963,-2
965,0
966,2
968,-2
969,-2
970,-2
971,0
972,2
973,-1
974,0
975,0
976,-2
977,-1
978,4
979,0
980,-2
981,5
982,-2
983,0
984,-2
985,-2
986,1
987,1
988,2
989,4
990,-2
991,-2
992,-2
993,-2
994,6
995,4
996,-2
997,-2
999,3
1000,-1
1001,-2
1002,2
1003,-2
1004,-2
1005,4
1006,4
1007,3
1008,0
1009,-2
1010,-2
1011,-2
1012,-2
1013,0
1014,3
1015,-2
1017,6
1018,3
1019,-2
1020,1
1021,1
1022,1
1023,2
1024,-2
1025,0
1026,-2
1027,-1
1028,3
1029,-2
1030,-2
1031,1
1032,-2
1033,2
1034,1
1035,1
1036,-1
1037,0
1038,-2
1039,-2
1040,-2
1041,-2
1042,0
1043,-2
1044,-2
1045,-1
1046,-2
1047,1
1048,1
1049,-2
1050,-2
1051,4
1053,-1
1054,1
1055,1
1057,-2
1058,1
1059,-2
1060,5
1061,0
1062,1
1063,3
1064,-4
1065,3
1066,6
1067,-2
1068,2
1069,2
1070,0
1072,0
1073,-2
1074,-1
1075,-1
1076,-3
1077,-1
1078,-2
1079,3
1081,7
1082,1
1083,2
1084,0
1085,0
1086,0
1087,2
1088,-4
1089,1
1090,1
1091,-1
1092,4
1093,-1
1094,1
1095,2
1096,4
1097,0
1098,-1
1099,0
1101,6
1102,-1
1103,1
1104,3
1105,-1
1106,-1
1107,-1
1108,5
1109,1
1110,0
1113,4
1114,3
1115,0
1117,-1
1119,0
1120,-5
1121,1
1122,-5
1123,3
1125,3
1127,1
1128,2
1129,-3
1130,0
1131,1
1132,-5
1133,3
1134,1
1136,-3
1137,0
1138,6
1139,-4
1140,5
1141,3
1143,6
1144,0
1145,1
1146,0
1148,-1
1150,-3
1151,1
1153,0
1154,2
1155,5
1157,1
1158,4
1159,2
1160,0
1161,1
1162,1
1163,0
1164,0
1165,-1
1166,-2
1168,0
1169,2
1170,3
1171,1
1172,0
1174,3
1175,2
1176,3
1177,2
1178,0
1179,3
1180,5
1181,1
1182,1
1183,1
1184,1
1185,-1
1186,0
1187,1
1188,-1
1190,5
1191,-2
1192,3
1193,-3
1194,2
1195,1
1196,0
1197,2
1198,1
1200,2
1201,1
1202,2
1203,0
1206,0
1207,-2
1208,1
1209,2
1210,1
1211,0
1212,-1
1213,-4
1214,5
1215,4
1216,1
1217,0
1219,2
1221,-8
1222,1
1223,2
1224,-1
1226,3
1227,4
1229,-1
1230,0
1231,0
1232,2
1233,-1
1234,-2
1235,1
1237,0
1238,1
1239,2
1240,4
1241,-2
1242,0
1243,1
1244,8
1245,1
1246,4
1247,1
1248,2
1249,-1
1250,-4
1251,3
1252,-2
1253,7
1255,2
1256,0
1257,0
1258,0
1259,1
1261,-1
1262,0
1263,0
1264,-1
1265,0
1266,2
1268,3
1270,0
1271,2
1272,2
1273,3
1274,1
1275,0
1276,0
